molecule_chembl_id,pref_name,canonical_smiles,standard_inchi_key,full_mwt,full_molformula,alogp,np_likeness_score,natural_product,compound_id,name,domain,chemical_class,label_source,smiles_final,standard_id,er_alpha_active,er_alpha_active_max_pchembl,ahr_active,ahr_active_max_pchembl,ar_active,ar_active_max_pchembl,esr1_binding,esr1_binding_max_pchembl,esr1_agonism,esr1_agonism_max_pchembl,esr1_antagonism,esr1_antagonism_max_pchembl,esr1_reporter,esr1_reporter_max_pchembl,ahr_binding,ahr_binding_max_pchembl,ahr_agonism,ahr_agonism_max_pchembl,ahr_reporter,ahr_reporter_max_pchembl,ar_binding,ar_binding_max_pchembl,ar_agonism,ar_agonism_max_pchembl,ar_antagonism,ar_antagonism_max_pchembl,ar_reporter,ar_reporter_max_pchembl,mie_receptor_binding,mie_receptor_binding_max_pchembl,mie_receptor_agonism,mie_receptor_agonism_max_pchembl,mie_receptor_antagonism,mie_receptor_antagonism_max_pchembl,reporter_response,reporter_response_max_pchembl,measured_tasks
CHEMBL100231,,CC(C)c1ccc(N2CCc3cc(O)ccc3C2(C)c2ccc(OCCN3CCCCC3)cc2)cc1,DKSQEJYZOQNOID-UHFFFAOYSA-N,484.68,C32H40N2O2,6.71,-0.27,0,CHEMBL100231,,generic_bioactive,,chembl_source_target_mie_curated,CC(C)c1ccc(N2CCc3cc(O)ccc3C2(C)c2ccc(OCCN3CCCCC3)cc2)cc1,DKSQEJYZOQNOID-UHFFFAOYSA-N,1.0,8.28,,,,,1.0,8.28,1.0,8.28,1.0,8.28,1.0,8.28,,,,,,,,,,,,,,,1,8.28,1,8.28,1,8.28,1,8.28,"er_alpha_active,esr1_binding,esr1_agonism,esr1_antagonism,esr1_reporter,mie_receptor_binding,mie_receptor_agonism,mie_receptor_antagonism,reporter_response"
CHEMBL100258,,O=C(c1ccc(OC(F)F)cc1)c1oc2cc(O)ccc2c1-c1cccc2ccccc12,VXWTYXLRZQASCX-UHFFFAOYSA-N,430.41,C26H16F2O4,6.79,-0.39,0,CHEMBL100258,,generic_bioactive,,chembl_source_target_mie_curated,O=C(c1ccc(OC(F)F)cc1)c1oc2cc(O)ccc2c1-c1cccc2ccccc12,VXWTYXLRZQASCX-UHFFFAOYSA-N,1.0,6.52,,,,,1.0,6.52,,,,,,,,,,,,,,,,,,,,,1,6.52,,,,,,,"er_alpha_active,esr1_binding,mie_receptor_binding"
CHEMBL100484,,O=C(c1ccccc1Cl)c1oc2cc(O)ccc2c1-c1cccc2ccccc12,PNQQAORFIRKKCA-UHFFFAOYSA-N,398.85,C25H15ClO3,6.84,-0.18,0,CHEMBL100484,,generic_bioactive,,chembl_source_target_mie_curated,O=C(c1ccccc1Cl)c1oc2cc(O)ccc2c1-c1cccc2ccccc12,PNQQAORFIRKKCA-UHFFFAOYSA-N,1.0,7.52,,,,,1.0,7.52,,,,,,,,,,,,,,,,,,,,,1,7.52,,,,,,,"er_alpha_active,esr1_binding,mie_receptor_binding"
CHEMBL100595,,CC(C)c1cccc(N2CCc3cc(O)ccc3C2(C)c2ccc(OCCN3CCCCC3)cc2)c1,FZFDZCOFXXVCFT-UHFFFAOYSA-N,484.68,C32H40N2O2,6.71,-0.31,0,CHEMBL100595,,generic_bioactive,,chembl_source_target_mie_curated,CC(C)c1cccc(N2CCc3cc(O)ccc3C2(C)c2ccc(OCCN3CCCCC3)cc2)c1,FZFDZCOFXXVCFT-UHFFFAOYSA-N,1.0,7.79,,,,,1.0,7.79,1.0,7.79,1.0,7.79,1.0,7.79,,,,,,,,,,,,,,,1,7.79,1,7.79,1,7.79,1,7.79,"er_alpha_active,esr1_binding,esr1_agonism,esr1_antagonism,esr1_reporter,mie_receptor_binding,mie_receptor_agonism,mie_receptor_antagonism,reporter_response"
CHEMBL100617,,CC1(c2ccc(OCCN3CCCCC3)cc2)c2ccc(O)cc2CCN1c1cccc(O)c1,UWLIBOKLGCNWFW-UHFFFAOYSA-N,458.6,C29H34N2O3,5.29,-0.2,0,CHEMBL100617,,generic_bioactive,,chembl_source_target_mie_curated,CC1(c2ccc(OCCN3CCCCC3)cc2)c2ccc(O)cc2CCN1c1cccc(O)c1,UWLIBOKLGCNWFW-UHFFFAOYSA-N,1.0,9.15,,,,,1.0,9.15,1.0,9.15,1.0,9.15,1.0,9.15,,,,,,,,,,,,,,,1,9.15,1,9.15,1,9.15,1,9.15,"er_alpha_active,esr1_binding,esr1_agonism,esr1_antagonism,esr1_reporter,mie_receptor_binding,mie_receptor_agonism,mie_receptor_antagonism,reporter_response"
CHEMBL100763,,CC1(c2ccc(OCCN3CCCC3)cc2)c2ccc(O)cc2CCN1c1ccc(Cl)cc1,AVQUDVSCNKMYFQ-UHFFFAOYSA-N,463.02,C28H31ClN2O2,5.85,-0.4,0,CHEMBL100763,,generic_bioactive,,chembl_source_target_mie_curated,CC1(c2ccc(OCCN3CCCC3)cc2)c2ccc(O)cc2CCN1c1ccc(Cl)cc1,AVQUDVSCNKMYFQ-UHFFFAOYSA-N,1.0,8.48,,,,,1.0,8.48,1.0,8.48,1.0,8.48,1.0,8.48,,,,,,,,,,,,,,,1,8.48,1,8.48,1,8.48,1,8.48,"er_alpha_active,esr1_binding,esr1_agonism,esr1_antagonism,esr1_reporter,mie_receptor_binding,mie_receptor_agonism,mie_receptor_antagonism,reporter_response"
CHEMBL101083,,CC1(c2ccc(OCCN3CCCCC3)cc2)c2ccc(O)cc2CCN1c1ccc(F)cc1,KRKKFOHLNPZSHV-UHFFFAOYSA-N,460.59,C29H33FN2O2,5.72,-0.47,0,CHEMBL101083,,generic_bioactive,,chembl_source_target_mie_curated,CC1(c2ccc(OCCN3CCCCC3)cc2)c2ccc(O)cc2CCN1c1ccc(F)cc1,KRKKFOHLNPZSHV-UHFFFAOYSA-N,1.0,8.72,,,,,1.0,8.72,1.0,8.72,1.0,8.72,1.0,8.72,,,,,,,,,,,,,,,1,8.72,1,8.72,1,8.72,1,8.72,"er_alpha_active,esr1_binding,esr1_agonism,esr1_antagonism,esr1_reporter,mie_receptor_binding,mie_receptor_agonism,mie_receptor_antagonism,reporter_response"
CHEMBL101382,,Oc1ccc2c(c1)CCN(c1ccccc1)C2c1ccc(OCCN2CCCCC2)cc1,FMWVCTJKLAVRPB-UHFFFAOYSA-N,428.58,C28H32N2O2,5.41,-0.49,1,CHEMBL101382,,natural_product,,chembl_source_target_mie_curated,Oc1ccc2c(c1)CCN(c1ccccc1)C2c1ccc(OCCN2CCCCC2)cc1,FMWVCTJKLAVRPB-UHFFFAOYSA-N,1.0,7.78,,,,,1.0,7.78,1.0,7.78,1.0,7.78,1.0,7.78,,,,,,,,,,,,,,,1,7.78,1,7.78,1,7.78,1,7.78,"er_alpha_active,esr1_binding,esr1_agonism,esr1_antagonism,esr1_reporter,mie_receptor_binding,mie_receptor_agonism,mie_receptor_antagonism,reporter_response"
CHEMBL1014,CANDESARTAN CILEXETIL,CCOc1nc2cccc(C(=O)OC(C)OC(=O)OC3CCCCC3)c2n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,GHOSNRCGJFBJIB-UHFFFAOYSA-N,610.67,C33H34N6O6,6.32,-0.61,1,CHEMBL1014,CANDESARTAN CILEXETIL,natural_product,,chembl_source_target_mie_curated,CCOc1nc2cccc(C(=O)OC(C)OC(=O)OC3CCCCC3)c2n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,GHOSNRCGJFBJIB-UHFFFAOYSA-N,1.0,5.07,,,1.0,5.24,,,1.0,5.07,1.0,5.07,1.0,5.07,,,,,,,0.0,4.77,1.0,5.24,1.0,5.24,1.0,5.24,0,4.77,1,5.24,1,5.24,1,5.24,"er_alpha_active,ar_active,esr1_agonism,esr1_antagonism,esr1_reporter,ar_binding,ar_agonism,ar_antagonism,ar_reporter,mie_receptor_binding,mie_receptor_agonism,mie_receptor_antagonism,reporter_response"
CHEMBL101719,,CN(C)c1cccc(N2CCc3cc(O)ccc3C2(C)c2ccc(OCCN3CCCCC3)cc2)c1,RPGDQMYAMWXMLX-UHFFFAOYSA-N,485.67,C31H39N3O2,5.65,-0.44,0,CHEMBL101719,,generic_bioactive,,chembl_source_target_mie_curated,CN(C)c1cccc(N2CCc3cc(O)ccc3C2(C)c2ccc(OCCN3CCCCC3)cc2)c1,RPGDQMYAMWXMLX-UHFFFAOYSA-N,1.0,7.7,,,,,1.0,7.7,,,,,1.0,7.7,,,,,,,,,,,,,,,1,7.7,,,,,1,7.7,"er_alpha_active,esr1_binding,esr1_reporter,mie_receptor_binding,reporter_response"
