compound_id,dtxsid,name,smiles_final,qsar_ready_smiles,ms_ready_smiles,smiles_ctx,exclusion_reason
DTXSID001339559,DTXSID001339559,AFFF Solberg F2(0.5X) + F3(0.5X),,,,,missing_smiles_final
DTXSID001351795,DTXSID001351795,1-Phenyl-3-methyl-5-pyrazolone; Propylparaben (33:67),,,,,missing_smiles_final
DTXSID001351802,DTXSID001351802,2-(Phenylmethylene)octanal; Bisphenol A (50:50),,,,,missing_smiles_final
DTXSID0020101,DTXSID0020101,Aroclor 1260,,,,,missing_smiles_final
DTXSID0021175,DTXSID0021175,Polysorbate 80,,,,,missing_smiles_final
DTXSID0027729,DTXSID0027729,Isomethyltetrahydrophthalic anhydride,,,,,missing_smiles_final
DTXSID0028323,DTXSID0028323,"Alcohols, C16-18",,,,,missing_smiles_final
DTXSID0028666,DTXSID0028666,"1,2-Benzenedicarboxylic acid, di-C9-11-branched alkyl esters, C10-rich",,,,,missing_smiles_final
DTXSID0029214,DTXSID0029214,Methylionone,,,,,missing_smiles_final
DTXSID0029474,DTXSID0029474,"Oxirane, 2-[(C8-10-alkyloxy)methyl] derivatives",,,,,missing_smiles_final
DTXSID0029848,DTXSID0029848,"Acetic acid, C8-10-branched alkyl esters, C9-rich",,,,,missing_smiles_final
DTXSID0034566,DTXSID0034566,Emamectin benzoate,,,,,missing_smiles_final
DTXSID0044317,DTXSID0044317,8-Hydroxyquinoline-5-sulfonic acid hydrate (1:x),,,,,missing_smiles_final
DTXSID0044783,DTXSID0044783,"2-Silylpropyl-urea, Si-(ethoxy and methoxy) derivs",,,,,missing_smiles_final
DTXSID0037235,DTXSID0037235,Gentamicin sulfate,,,,,missing_smiles_final
DTXSID0041721,DTXSID0041721,C.I. Acid Yellow 3 disodium salt,,,,,missing_smiles_final
DTXSID0042327,DTXSID0042327,Dipropylene glycol dimethyl ether,,,,,missing_smiles_final
DTXSID0045969,DTXSID0045969,Enoxaparin sodium,,,,,missing_smiles_final
DTXSID0047242,DTXSID0047242,"2,4-Diaminoanisole sulfate hydrate (1:1:x)",,,,,missing_smiles_final
DTXSID0048630,DTXSID0048630,Sevelamer hydrochloride,,,,,missing_smiles_final
DTXSID0049020,DTXSID0049020,Poly-L-ornithine hydrochloride,,,,,missing_smiles_final
DTXSID0049446,DTXSID0049446,NTP Mix58 CT1 62-GP,,,,,missing_smiles_final
DTXSID0049448,DTXSID0049448,NTP Mix60 CT1 62-GP,,,,,missing_smiles_final
DTXSID0049490,DTXSID0049490,NTP Mix38 CT1 2-EQP,,,,,missing_smiles_final
DTXSID0049492,DTXSID0049492,NTP Mix35 CT1 1-EQP,,,,,missing_smiles_final
DTXSID0049494,DTXSID0049494,NTP Mix1 AR1 4-EQP,,,,,missing_smiles_final
DTXSID0049496,DTXSID0049496,NTP Mix3 AR1 8-EQP,,,,,missing_smiles_final
DTXSID0049498,DTXSID0049498,NTP Mix5 AR1 8-7EQP,,,,,missing_smiles_final
DTXSID0049521,DTXSID0049521,NTP Mix101 ER1 10-EQP,,,,,missing_smiles_final
DTXSID0049523,DTXSID0049523,NTP Mix103 ER1 10-EQP,,,,,missing_smiles_final
DTXSID0049525,DTXSID0049525,NTP Mix105 ER1 10-EQP,,,,,missing_smiles_final
DTXSID0049527,DTXSID0049527,NTP Mix107 ER1 10-EQP,,,,,missing_smiles_final
DTXSID0049529,DTXSID0049529,NTP Mix109 ER1 10-GP,,,,,missing_smiles_final
DTXSID0052910,DTXSID0052910,DSH spr 2012_Prox,,,,,missing_smiles_final
DTXSID0052912,DTXSID0052912,DSH spr 2012_SMTP,,,,,missing_smiles_final
DTXSID0057910,DTXSID0057910,MED_IVEDCMix_4EnvC,,,,,missing_smiles_final
DTXSID0057912,DTXSID0057912,MED_EnvEDCMix_9EnvC,,,,,missing_smiles_final
DTXSID0057914,DTXSID0057914,MED_ChemSTMix_5EnvC,,,,,missing_smiles_final
DTXSID0057916,DTXSID0057916,MED_ERAgonMix_4EQC,,,,,missing_smiles_final
DTXSID00858881,DTXSID00858881,EPAMED_Water_Set2-15,,,,,missing_smiles_final
DTXSID00858886,DTXSID00858886,EPAMED_Water_Set2-20,,,,,missing_smiles_final
DTXSID00858902,DTXSID00858902,EPAMED_Water_Set2-36,,,,,missing_smiles_final
DTXSID00858907,DTXSID00858907,EPAMED_Water_Set2-41,,,,,missing_smiles_final
DTXSID00858922,DTXSID00858922,EPAMED_Water_Set2-56,,,,,missing_smiles_final
DTXSID00872709,DTXSID00872709,EPAMED_Water_Set3-4,,,,,missing_smiles_final
DTXSID00872724,DTXSID00872724,EPAMED_Water_Set3-19,,,,,missing_smiles_final
DTXSID00872729,DTXSID00872729,EPAMED_Water_Set3-24,,,,,missing_smiles_final
DTXSID00872744,DTXSID00872744,EPAMED_Water_Set3-39,,,,,missing_smiles_final
DTXSID00872749,DTXSID00872749,EPAMED_Water_Set3-44,,,,,missing_smiles_final
DTXSID00903825,DTXSID00903825,EPAMED_Water_Set4-1,,,,,missing_smiles_final
DTXSID00903840,DTXSID00903840,EPAMED_Water_Set4-16,,,,,missing_smiles_final
DTXSID00903845,DTXSID00903845,EPAMED_Water_Set4-21,,,,,missing_smiles_final
DTXSID00903860,DTXSID00903860,EPAMED_Water_Set5-1,,,,,missing_smiles_final
DTXSID00903865,DTXSID00903865,EPAMED_Water_Set5-6,,,,,missing_smiles_final
DTXSID00903880,DTXSID00903880,EPAMED_Water_Set5-21,,,,,missing_smiles_final
DTXSID00903885,DTXSID00903885,EPAMED_Water_Set5-26,,,,,missing_smiles_final
DTXSID101351786,DTXSID101351786,Propylparaben; Butylated hydroxytoluene (33:67),,,,,missing_smiles_final
DTXSID101351798,DTXSID101351798,Propylparaben; Bisphenol A (50:50),,,,,missing_smiles_final
DTXSID101351805,DTXSID101351805,2-(Phenylmethylene)octanal; Bexarotene (50:50),,,,,missing_smiles_final
DTXSID1027394,DTXSID1027394,Naphthenic acids,,,,,missing_smiles_final
DTXSID1027396,DTXSID1027396,Anhydrosorbitol stearate,,,,,missing_smiles_final
DTXSID1027841,DTXSID1027841,Isooctyl 2-mercaptoacetate,,,,,missing_smiles_final
DTXSID1027891,DTXSID1027891,Calcium dodecylbenzene sulfonate,,,,,missing_smiles_final
DTXSID1045900,DTXSID1045900,Mepartricin,,,,,missing_smiles_final
DTXSID1046978,DTXSID1046978,C12-14-Alkyldimethyl betaines,,,,,missing_smiles_final
DTXSID1047027,DTXSID1047027,Ditridecyl phthalate (mixture of branched chain isomers),,,,,missing_smiles_final
DTXSID1047364,DTXSID1047364,SSR 103800,,,,,missing_smiles_final
DTXSID1047526,DTXSID1047526,C10-21 alkanesulfonic acids phenyl esters,,,,,missing_smiles_final
DTXSID1047657,DTXSID1047657,"1,3-Nonanediol monoacetate",,,,,missing_smiles_final
DTXSID1049481,DTXSID1049481,NTP Mix44 CT1 3-EQP,,,,,missing_smiles_final
DTXSID1049483,DTXSID1049483,NTP Mix36 CT1 2-EQP,,,,,missing_smiles_final
DTXSID1049485,DTXSID1049485,NTP Mix46 CT1 3-EQP,,,,,missing_smiles_final
DTXSID1049487,DTXSID1049487,NTP Mix47 CT1 3-EQP,,,,,missing_smiles_final
DTXSID1049489,DTXSID1049489,NTP Mix49 CT1 3-EQP,,,,,missing_smiles_final
