memory_name,compound_id,name,domain,reference_group,label_source,ar_binding,tanimoto,murcko_scaffold,task,query_compound_id,query_name,query_delta_score
pollutant_only,DTXSID9033923,Procymidone,pollutant,pollutant_only,ctx_target_mie_curated_endpoints,1.0,0.375,O=C1C2CC2C(=O)N1c1ccccc1,ar_binding,DTXSID9034286,5-Chloro-2-methyl-3(2H)-isothiazolone,0.7557013273239136
pollutant_only,DTXSID4022361,Vinclozolin,pollutant,pollutant_only,ctx_target_mie_curated_endpoints,1.0,0.2820513,O=C1COC(=O)N1c1ccccc1,ar_binding,DTXSID9034286,5-Chloro-2-methyl-3(2H)-isothiazolone,0.7557013273239136
pollutant_only,DTXSID1025805,2-n-Octyl-4-isothiazolin-3-one,pollutant,pollutant_only,ctx_target_mie_curated_endpoints,1.0,0.27027026,O=c1ccs[nH]1,ar_binding,DTXSID9034286,5-Chloro-2-methyl-3(2H)-isothiazolone,0.7557013273239136
pollutant_only,DTXSID5032315,"4,5-Dichloro-2-octyl-3(2H)-isothiazolone",pollutant,pollutant_only,ctx_target_mie_curated_endpoints,1.0,0.2631579,O=c1ccs[nH]1,ar_binding,DTXSID9034286,5-Chloro-2-methyl-3(2H)-isothiazolone,0.7557013273239136
pollutant_only,DTXSID2024793,Chloroneb,pollutant,pollutant_only,ctx_target_mie_curated_endpoints,0.0,0.25,c1ccccc1,ar_binding,DTXSID9034286,5-Chloro-2-methyl-3(2H)-isothiazolone,0.7557013273239136
natural_product,CHEMBL1405,ESTRONE,natural_product,natural_product,chembl_source_target_mie_curated,1.0,0.19148937,O=C1CCC2C1CCC1c3ccccc3CCC12,ar_binding,DTXSID9034286,5-Chloro-2-methyl-3(2H)-isothiazolone,0.7557013273239136
natural_product,CHEMBL182593,CHEMBL182593,natural_product,natural_product,chembl_source_target_mie_curated,1.0,0.18604651,O=C1C2C3C=CC(C3)C2C(=O)N1c1ccccc1,ar_binding,DTXSID9034286,5-Chloro-2-methyl-3(2H)-isothiazolone,0.7557013273239136
natural_product,CHEMBL4285568,CHEMBL4285568,natural_product,natural_product,chembl_source_target_mie_curated,1.0,0.18367347,O=C(C=Cc1ccccc1)c1ccccc1,ar_binding,DTXSID9034286,5-Chloro-2-methyl-3(2H)-isothiazolone,0.7557013273239136
natural_product,CHEMBL1085,ACETOPHENAZINE,natural_product,natural_product,chembl_source_target_mie_curated,1.0,0.18181819,c1ccc2c(c1)Sc1ccccc1N2CCCN1CCNCC1,ar_binding,DTXSID9034286,5-Chloro-2-methyl-3(2H)-isothiazolone,0.7557013273239136
natural_product,CHEMBL274826,ANDROSTENEDIONE,natural_product,natural_product,chembl_source_target_mie_curated,1.0,0.18181819,O=C1C=C2CCC3C4CCC(=O)C4CCC3C2CC1,ar_binding,DTXSID9034286,5-Chloro-2-methyl-3(2H)-isothiazolone,0.7557013273239136
ar_support_v2,DTXSID9033923,Procymidone,pollutant,pollutant_only,ctx_target_mie_curated_endpoints,1.0,0.375,O=C1C2CC2C(=O)N1c1ccccc1,ar_binding,DTXSID9034286,5-Chloro-2-methyl-3(2H)-isothiazolone,0.7557013273239136
ar_support_v2,CHEMBL257668,CHEMBL257668,generic_bioactive,generic_bioactive,chembl_source_target_mie_curated,1.0,0.28947368,O=C1C2C3CCC(O3)C2C(=O)N1c1ccccc1,ar_binding,DTXSID9034286,5-Chloro-2-methyl-3(2H)-isothiazolone,0.7557013273239136
ar_support_v2,DTXSID4022361,Vinclozolin,pollutant,pollutant_only,ctx_target_mie_curated_endpoints,1.0,0.2820513,O=C1COC(=O)N1c1ccccc1,ar_binding,DTXSID9034286,5-Chloro-2-methyl-3(2H)-isothiazolone,0.7557013273239136
ar_support_v2,DTXSID1025805,2-n-Octyl-4-isothiazolin-3-one,pollutant,pollutant_only,ctx_target_mie_curated_endpoints,1.0,0.27027026,O=c1ccs[nH]1,ar_binding,DTXSID9034286,5-Chloro-2-methyl-3(2H)-isothiazolone,0.7557013273239136
ar_support_v2,DTXSID5032315,"4,5-Dichloro-2-octyl-3(2H)-isothiazolone",pollutant,pollutant_only,ctx_target_mie_curated_endpoints,1.0,0.2631579,O=c1ccs[nH]1,ar_binding,DTXSID9034286,5-Chloro-2-methyl-3(2H)-isothiazolone,0.7557013273239136
pollutant_only,DTXSID8033562,Hydroxyflutamide,pollutant,pollutant_only,ctx_target_mie_curated_endpoints,1.0,0.43103448,c1ccccc1,ar_binding,DTXSID2022678,Bicalutamide,0.741589629650116
pollutant_only,DTXSID1047312,GSK232420A,pollutant,pollutant_only,ctx_target_mie_curated_endpoints,1.0,0.38709676,c1ccccc1,ar_binding,DTXSID2022678,Bicalutamide,0.741589629650116
pollutant_only,DTXSID7032004,Flutamide,pollutant,pollutant_only,ctx_target_mie_curated_endpoints,1.0,0.38333333,c1ccccc1,ar_binding,DTXSID2022678,Bicalutamide,0.741589629650116
pollutant_only,DTXSID8024109,Flutolanil,pollutant,pollutant_only,ctx_target_mie_curated_endpoints,0.0,0.3030303,O=C(Nc1ccccc1)c1ccccc1,ar_binding,DTXSID2022678,Bicalutamide,0.741589629650116
pollutant_only,DTXSID2032552,Flufenacet,pollutant,pollutant_only,ctx_target_mie_curated_endpoints,1.0,0.28169015,O=C(COc1nncs1)Nc1ccccc1,ar_binding,DTXSID2022678,Bicalutamide,0.741589629650116
natural_product,CHEMBL469759,CHEMBL469759,natural_product,natural_product,chembl_source_target_mie_curated,1.0,0.42424244,O=C(CCOc1ccccc1)Nc1ccccc1,ar_binding,DTXSID2022678,Bicalutamide,0.741589629650116
natural_product,CHEMBL4457117,CHEMBL4457117,natural_product,natural_product,chembl_source_target_mie_curated,1.0,0.25,O=C(NCCn1ccc(-c2ccccc2)n1)c1cc[nH]n1,ar_binding,DTXSID2022678,Bicalutamide,0.741589629650116
natural_product,CHEMBL5206636,CHEMBL5206636,natural_product,natural_product,chembl_source_target_mie_curated,1.0,0.25,O=C(NCCn1ccc(-c2ccccc2)n1)c1cc[nH]n1,ar_binding,DTXSID2022678,Bicalutamide,0.741589629650116
natural_product,CHEMBL4297185,DAROLUTAMIDE,natural_product,natural_product,chembl_source_target_mie_curated,1.0,0.25,O=C(NCCn1ccc(-c2ccccc2)n1)c1cc[nH]n1,ar_binding,DTXSID2022678,Bicalutamide,0.741589629650116
natural_product,CHEMBL603,ZAFIRLUKAST,natural_product,natural_product,chembl_source_target_mie_curated,1.0,0.22105263,O=C(Nc1ccc2[nH]cc(Cc3ccc(C(=O)NS(=O)(=O)c4ccccc4)cc3)c2c1)OC1CCCC1,ar_binding,DTXSID2022678,Bicalutamide,0.741589629650116
ar_support_v2,CHEMBL63560,(R)-BICALUTAMIDE,generic_bioactive,generic_bioactive,chembl_source_target_mie_curated,1.0,1.0,O=C(CCS(=O)(=O)c1ccccc1)Nc1ccccc1,ar_binding,DTXSID2022678,Bicalutamide,0.741589629650116
ar_support_v2,CHEMBL409,BICALUTAMIDE,generic_bioactive,generic_bioactive,chembl_source_target_mie_curated,1.0,1.0,O=C(CCS(=O)(=O)c1ccccc1)Nc1ccccc1,ar_binding,DTXSID2022678,Bicalutamide,0.741589629650116
ar_support_v2,CHEMBL124881,(S)-BICALUTAMIDE,generic_bioactive,generic_bioactive,chembl_source_target_mie_curated,1.0,1.0,O=C(CCS(=O)(=O)c1ccccc1)Nc1ccccc1,ar_binding,DTXSID2022678,Bicalutamide,0.741589629650116
ar_support_v2,CHEMBL122510,CHEMBL122510,generic_bioactive,generic_bioactive,chembl_source_target_mie_curated,1.0,0.8627451,O=C(CCS(=O)(=O)c1ccccc1)Nc1ccccc1,ar_binding,DTXSID2022678,Bicalutamide,0.741589629650116
