task,query_compound_id,query_name,memory_name,top_ref_name,top_ref_compound_id,top_ref_similarity,mean_ref_label,query_delta_score
ar_binding,DTXSID9034286,5-Chloro-2-methyl-3(2H)-isothiazolone,pollutant_only,Procymidone,DTXSID9033923,0.375,0.8,0.7557013273239136
ar_binding,DTXSID9034286,5-Chloro-2-methyl-3(2H)-isothiazolone,natural_product,ESTRONE,CHEMBL1405,0.19148936867713928,1.0,0.7557013273239136
ar_binding,DTXSID9034286,5-Chloro-2-methyl-3(2H)-isothiazolone,ar_support_v2,Procymidone,DTXSID9033923,0.375,1.0,0.7557013273239136
ar_binding,DTXSID2022678,Bicalutamide,pollutant_only,Hydroxyflutamide,DTXSID8033562,0.43103447556495667,0.8,0.741589629650116
ar_binding,DTXSID2022678,Bicalutamide,natural_product,CHEMBL469759,CHEMBL469759,0.42424243688583374,1.0,0.741589629650116
ar_binding,DTXSID2022678,Bicalutamide,ar_support_v2,(R)-BICALUTAMIDE,CHEMBL63560,1.0,1.0,0.741589629650116
ar_binding,DTXSID3023897,Triadimefon,pollutant_only,Triadimenol,DTXSID0032493,0.6041666865348816,0.6,0.6933902502059937
ar_binding,DTXSID3023897,Triadimefon,natural_product,INDOMETHACIN,CHEMBL6,0.2537313401699066,0.6,0.6933902502059937
ar_binding,DTXSID3023897,Triadimefon,ar_support_v2,Triadimenol,DTXSID0032493,0.6041666865348816,0.8,0.6933902502059937
ar_binding,DTXSID1032359,Cyprodinil,pollutant_only,Pyrimethanil,DTXSID8034877,0.65625,0.2,0.6931606332461039
ar_binding,DTXSID1032359,Cyprodinil,natural_product,MINAPRINE,CHEMBL278819,0.21666666865348816,0.6,0.6931606332461039
ar_binding,DTXSID1032359,Cyprodinil,ar_support_v2,Pyrimethanil,DTXSID8034877,0.65625,0.4,0.6931606332461039
ar_binding,DTXSID8033562,Hydroxyflutamide,pollutant_only,Flutamide,DTXSID7032004,0.707317054271698,0.8,0.6900109603070821
ar_binding,DTXSID8033562,Hydroxyflutamide,natural_product,CHEMBL469759,CHEMBL469759,0.32786884903907776,1.0,0.6900109603070821
ar_binding,DTXSID8033562,Hydroxyflutamide,ar_support_v2,HYDROXYFLUTAMIDE,CHEMBL491,1.0,1.0,0.6900109603070821
ar_binding,DTXSID6032518,"4,5-Dichloro-3H-1,2-dithiol-3-one",pollutant_only,Tetrachlorophthalic anhydride,DTXSID7026102,0.30434781312942505,0.4,0.6794974525769553
ar_binding,DTXSID6032518,"4,5-Dichloro-3H-1,2-dithiol-3-one",natural_product,CHEMBL311000,CHEMBL311000,0.1515151560306549,0.6,0.6794974525769553
ar_binding,DTXSID6032518,"4,5-Dichloro-3H-1,2-dithiol-3-one",ar_support_v2,Tetrachlorophthalic anhydride,DTXSID7026102,0.30434781312942505,0.4,0.6794974525769553
ar_binding,DTXSID8020620,Fenthion,pollutant_only,Fenitrothion,DTXSID4032613,0.550000011920929,0.6,0.6780911008516947
ar_binding,DTXSID8020620,Fenthion,natural_product,DIOXYBENZONE,CHEMBL1326877,0.239130437374115,0.4,0.6780911008516947
ar_binding,DTXSID8020620,Fenthion,ar_support_v2,Fenitrothion,DTXSID4032613,0.550000011920929,1.0,0.6780911008516947
ar_binding,DTXSID5040704,"1,4-Naphthoquinone",pollutant_only,Phthalimide,DTXSID3026514,0.44999998807907104,0.2,0.6537878791491191
ar_binding,DTXSID5040704,"1,4-Naphthoquinone",natural_product,FLAVANONE,CHEMBL274318,0.28125,0.2,0.6537878791491191
ar_binding,DTXSID5040704,"1,4-Naphthoquinone",ar_support_v2,Phthalimide,DTXSID3026514,0.44999998807907104,0.2,0.6537878791491191
ar_binding,DTXSID6022391,Apigenin,pollutant_only,Chrysin,DTXSID1022396,0.800000011920929,0.4,0.6494071960449219
ar_binding,DTXSID6022391,Apigenin,natural_product,CHEMBL484662,CHEMBL484662,0.7428571581840515,0.6,0.6494071960449219
ar_binding,DTXSID6022391,Apigenin,ar_support_v2,CHEMBL484662,CHEMBL484662,0.7428571581840515,0.8,0.6494071960449219
ar_binding,DTXSID7047271,PD 0343701,pollutant_only,Trelanserin,DTXSID2047355,0.2921348214149475,0.4,0.643956470489502
ar_binding,DTXSID7047271,PD 0343701,natural_product,ZIPRASIDONE,CHEMBL708,0.5428571701049805,1.0,0.643956470489502
ar_binding,DTXSID7047271,PD 0343701,ar_support_v2,ZIPRASIDONE,CHEMBL708,0.5428571701049805,0.6,0.643956470489502
