task,fold_id,rf_pr_auc,hybrid_pr_auc,delta_pr_auc,rf_roc_auc,hybrid_roc_auc,delta_roc_auc,rf_balanced_accuracy,hybrid_balanced_accuracy,delta_balanced_accuracy,rf_f1,hybrid_f1,delta_f1,rf_p_at_5,hybrid_p_at_5,delta_p_at_5,rf_p_at_10,hybrid_p_at_10,delta_p_at_10,rf_ef_at_5,hybrid_ef_at_5,delta_ef_at_5
esr1_binding,scaffold_holdout_01,0.2363668349147348,0.3446475820664759,0.10828074715174107,0.6596072931276298,0.7223780582826866,0.06277076515505686,0.521505376344086,0.5769050958391772,0.05539971949509115,0.08247422680412372,0.26153846153846155,0.17906423473433783,0.2,0.45,0.25,0.20253164556962025,0.3924050632911392,0.18987341772151897,1.6838709677419355,3.7887096774193547,2.104838709677419
esr1_binding,scaffold_holdout_02,0.47146291605623436,0.6096628002580073,0.13819988420177298,0.755129179331307,0.8166413373860182,0.06151215805471122,0.573055977710233,0.7353596757852077,0.1623036980749747,0.2556390977443609,0.5182186234817814,0.2625795257374205,0.7317073170731707,0.8780487804878049,0.14634146341463417,0.5609756097560976,0.6951219512195121,0.13414634146341453,5.337543554006969,6.405052264808363,1.0675087108013939
esr1_binding,scaffold_holdout_03,0.5371498608437983,0.6309269295742782,0.09377706873047986,0.8402564817396153,0.845413994981879,0.005157513242263656,0.6546557011430164,0.7340395873989406,0.07938388625592419,0.45833333333333326,0.4087591240875912,-0.049574209245742074,0.8461538461538461,0.9230769230769231,0.07692307692307698,0.6,0.68,0.08000000000000007,6.097285067873303,6.65158371040724,0.5542986425339373
esr1_binding,scaffold_holdout_04,0.5240476609616432,0.5310295623674366,0.006981901405793356,0.8064001879446906,0.7622835279903343,-0.04411665995435632,0.5900456437105652,0.6908309840247013,0.10078534031413611,0.3053435114503817,0.40677966101694907,0.10143614956656738,0.6470588235294118,0.7941176470588235,0.1470588235294117,0.6176470588235294,0.6323529411764706,0.014705882352941124,4.21210407239819,5.169400452488687,0.9572963800904972
esr1_binding,scaffold_holdout_05,0.25717392954710555,0.34174933224214693,0.08457540269504138,0.6604415168239274,0.708047000178031,0.04760548335410364,0.5473206337902795,0.5910361402884102,0.04371550649813072,0.1739130434782609,0.2814814814814815,0.1075684380032206,0.3076923076923077,0.46153846153846156,0.15384615384615385,0.23376623376623376,0.2727272727272727,0.038961038961038946,2.878048780487805,4.317073170731708,1.4390243902439024
ar_binding,scaffold_holdout_01,0.6004722235537965,0.7738655918078661,0.1733933682540696,0.7852664576802508,0.9022615315718764,0.11699507389162556,0.6065830721003135,0.8076578593819973,0.20107478728168382,0.375,0.6849315068493151,0.30993150684931514,0.7272727272727273,0.9090909090909091,0.18181818181818177,0.6818181818181818,0.9090909090909091,0.2272727272727273,2.658307210031348,3.322884012539185,0.6645768025078369
ar_binding,scaffold_holdout_02,0.44260520478186427,0.6424907944452629,0.19988558966339864,0.7159493670886076,0.8239099859353024,0.10796061884669483,0.5648523206751055,0.7137974683544304,0.14894514767932487,0.2731707317073171,0.5359477124183006,0.26277698071098354,0.59375,0.84375,0.25,0.5079365079365079,0.7142857142857143,0.2063492063492064,2.4699999999999998,3.51,1.04
ar_binding,scaffold_holdout_03,0.5069877881660239,0.6079066176163245,0.10091882945030062,0.753091858378202,0.8298417360091369,0.07674987763093488,0.5882852015010606,0.7383015173764073,0.1500163158753467,0.3163841807909604,0.5480769230769231,0.2316927422859627,0.6666666666666666,0.7666666666666667,0.10000000000000009,0.6101694915254238,0.6949152542372882,0.0847457627118644,2.9086419753086417,3.3449382716049385,0.43629629629629685
ar_binding,scaffold_holdout_04,0.5315012360381008,0.6503835641927461,0.11888232815464528,0.8201549369747899,0.8555409663865546,0.03538602941176472,0.5914784663865547,0.7314666491596639,0.1399881827731092,0.3132530120481928,0.58008658008658,0.2668335680383872,0.7027027027027027,0.8648648648648649,0.16216216216216217,0.6027397260273972,0.6986301369863014,0.09589041095890416,3.9691722972972974,4.885135135135135,0.9159628378378377
ar_binding,scaffold_holdout_05,0.4742113854403752,0.5552431707303862,0.08103178529001098,0.7815726725000532,0.7961188818632774,0.01454620936322415,0.5825748866321773,0.6660359583572842,0.08346107172510697,0.2949640287769784,0.45499999999999996,0.16003597122302154,0.6140350877192983,0.8070175438596491,0.1929824561403508,0.5221238938053098,0.6460176991150443,0.12389380530973448,3.386222910216718,4.450464396284829,1.064241486068111
