memory_name,compound_id,name,domain,reference_group,label_source,esr1_binding,tanimoto,murcko_scaffold,task,query_compound_id,query_name,query_delta_score,ar_binding
pollutant_only,DTXSID4048195,4-(Hexyloxy)phenol,pollutant,pollutant_only,ctx_target_mie_curated_endpoints,1.0,0.5588235,c1ccccc1,esr1_binding,DTXSID2036588,"Glycols, polyethylene, mono(p-nonylphenyl) ether",0.7912578662236532,
pollutant_only,DTXSID5033836,4-Nonylphenol,pollutant,pollutant_only,ctx_target_mie_curated_endpoints,1.0,0.54545456,c1ccccc1,esr1_binding,DTXSID2036588,"Glycols, polyethylene, mono(p-nonylphenyl) ether",0.7912578662236532,
pollutant_only,DTXSID1022508,4-Dodecylphenol,pollutant,pollutant_only,ctx_target_mie_curated_endpoints,1.0,0.54545456,c1ccccc1,esr1_binding,DTXSID2036588,"Glycols, polyethylene, mono(p-nonylphenyl) ether",0.7912578662236532,
pollutant_only,DTXSID9022312,4-Octylphenol,pollutant,pollutant_only,ctx_target_mie_curated_endpoints,1.0,0.54545456,c1ccccc1,esr1_binding,DTXSID2036588,"Glycols, polyethylene, mono(p-nonylphenyl) ether",0.7912578662236532,
pollutant_only,DTXSID2037714,4-Heptylphenol,pollutant,pollutant_only,ctx_target_mie_curated_endpoints,1.0,0.54545456,c1ccccc1,esr1_binding,DTXSID2036588,"Glycols, polyethylene, mono(p-nonylphenyl) ether",0.7912578662236532,
generic_bioactive,CHEMBL46937,CHEMBL46937,generic_bioactive,generic_bioactive,chembl_source_target_mie_curated,1.0,0.359375,O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccccc2)sc2ccccc12,esr1_binding,DTXSID2036588,"Glycols, polyethylene, mono(p-nonylphenyl) ether",0.7912578662236532,
generic_bioactive,CHEMBL3422030,CHEMBL3422030,generic_bioactive,generic_bioactive,chembl_source_target_mie_curated,1.0,0.35555556,C=C(c1ccccc1)c1ccccc1,esr1_binding,DTXSID2036588,"Glycols, polyethylene, mono(p-nonylphenyl) ether",0.7912578662236532,
generic_bioactive,CHEMBL3586191,CHEMBL3586191,generic_bioactive,generic_bioactive,chembl_source_target_mie_curated,1.0,0.35185185,C(=C(c1ccccc1)c1ccccc1)c1ccccc1,esr1_binding,DTXSID2036588,"Glycols, polyethylene, mono(p-nonylphenyl) ether",0.7912578662236532,
generic_bioactive,CHEMBL3586192,CHEMBL3586192,generic_bioactive,generic_bioactive,chembl_source_target_mie_curated,1.0,0.35185185,C(=C(c1ccccc1)c1ccccc1)c1ccccc1,esr1_binding,DTXSID2036588,"Glycols, polyethylene, mono(p-nonylphenyl) ether",0.7912578662236532,
generic_bioactive,CHEMBL3586193,CHEMBL3586193,generic_bioactive,generic_bioactive,chembl_source_target_mie_curated,1.0,0.35185185,C(=C(c1ccccc1)c1ccccc1)c1ccccc1,esr1_binding,DTXSID2036588,"Glycols, polyethylene, mono(p-nonylphenyl) ether",0.7912578662236532,
mixed,DTXSID4048195,4-(Hexyloxy)phenol,pollutant,pollutant_only,ctx_target_mie_curated_endpoints,1.0,0.5588235,c1ccccc1,esr1_binding,DTXSID2036588,"Glycols, polyethylene, mono(p-nonylphenyl) ether",0.7912578662236532,
mixed,DTXSID5033836,4-Nonylphenol,pollutant,pollutant_only,ctx_target_mie_curated_endpoints,1.0,0.54545456,c1ccccc1,esr1_binding,DTXSID2036588,"Glycols, polyethylene, mono(p-nonylphenyl) ether",0.7912578662236532,
mixed,DTXSID9022312,4-Octylphenol,pollutant,pollutant_only,ctx_target_mie_curated_endpoints,1.0,0.54545456,c1ccccc1,esr1_binding,DTXSID2036588,"Glycols, polyethylene, mono(p-nonylphenyl) ether",0.7912578662236532,
mixed,DTXSID2037714,4-Heptylphenol,pollutant,pollutant_only,ctx_target_mie_curated_endpoints,1.0,0.54545456,c1ccccc1,esr1_binding,DTXSID2036588,"Glycols, polyethylene, mono(p-nonylphenyl) ether",0.7912578662236532,
mixed,DTXSID1022508,4-Dodecylphenol,pollutant,pollutant_only,ctx_target_mie_curated_endpoints,1.0,0.54545456,c1ccccc1,esr1_binding,DTXSID2036588,"Glycols, polyethylene, mono(p-nonylphenyl) ether",0.7912578662236532,
