dtxsid,name,casrn,candidate_class,mechanism_annotation,primary_target_route,application_track,followup_route,proxy_support_label,esr1_binding_score,ar_binding_score,max_target_score,review_bucket,followup_action,review_priority,panel_group,followup_target,in_validation_panel
DTXSID0057706,Etienic acid,302-97-6,Other,dual_target_high,ESR1+AR,discovery_priority,Novelty-oriented orthogonal validation,proxy_negative,0.785,0.915,0.915,discovery_or_orthogonal,Orthogonal validation first; treat as novelty-oriented discovery candidate.,3,discovery_priority,Orthogonal/novel,True
DTXSID2044420,Phenol Red sodium salt,34487-61-1,Other,esr1_priority,ESR1,discovery_priority,Novelty-oriented orthogonal validation,proxy_negative,0.895,0.145,0.895,discovery_or_orthogonal,Orthogonal validation first; treat as novelty-oriented discovery candidate.,3,discovery_priority,Orthogonal/novel,True
DTXSID5045178,Masoprocol,27686-84-6,Other,dual_target_high,ESR1+AR,discovery_priority,Novelty-oriented orthogonal validation,proxy_negative,0.71,0.87,0.87,discovery_or_orthogonal,Orthogonal validation first; treat as novelty-oriented discovery candidate.,3,discovery_priority,Orthogonal/novel,True
DTXSID8047505,"3,5,3′-Triiodo-L-thyronine monosodium salt",55-06-1,Other,ar_priority,AR,discovery_priority,Novelty-oriented orthogonal validation,proxy_negative,,0.87,0.87,discovery_or_orthogonal,Orthogonal validation first; treat as novelty-oriented discovery candidate.,3,not_in_panel,manual_review,False
DTXSID5057834,Dimethisteron,79-64-1,Other,dual_target_high,ESR1+AR,discovery_priority,Novelty-oriented orthogonal validation,proxy_negative,0.555,0.865,0.865,discovery_or_orthogonal,Orthogonal validation first; treat as novelty-oriented discovery candidate.,3,not_in_panel,manual_review,False
DTXSID4036489,Mibolerone,3704-09-4,Other,dual_target_high,ESR1+AR,discovery_priority,Novelty-oriented orthogonal validation,proxy_negative,0.645,0.8641323692992213,0.8641323692992213,discovery_or_orthogonal,Orthogonal validation first; treat as novelty-oriented discovery candidate.,3,not_in_panel,manual_review,False
DTXSID6057825,Resocortol butyrate,76738-96-0,Other,ar_priority,AR,discovery_priority,Novelty-oriented orthogonal validation,proxy_negative,0.345,0.8038024564994882,0.8038024564994882,discovery_or_orthogonal,Orthogonal validation first; treat as novelty-oriented discovery candidate.,3,not_in_panel,manual_review,False
DTXSID4057631,Amelometasone,123013-22-9,Other,ar_priority,AR,discovery_priority,Novelty-oriented orthogonal validation,proxy_negative,0.245,0.8,0.8,discovery_or_orthogonal,Orthogonal validation first; treat as novelty-oriented discovery candidate.,3,not_in_panel,manual_review,False
DTXSID9047887,Pentylparaben,6521-29-5,Paraben_like,dual_target_high,ESR1+AR,environmental_high_confidence,Direct endocrine follow-up,esr1_proxy_supported,0.98,0.65,0.98,dual_endocrine_high_confidence,Direct ESR1 and AR follow-up; prioritize binding/reporter confirmation.,1,dual_environmental,ESR1+AR,True
DTXSID9047885,Nonylparaben,38713-56-3,Paraben_like,dual_target_high,ESR1+AR,environmental_high_confidence,Direct endocrine follow-up,multi_proxy_supported,0.965,0.925,0.965,dual_endocrine_high_confidence,Direct ESR1 and AR follow-up; prioritize binding/reporter confirmation.,1,dual_environmental,ESR1+AR,True
DTXSID9047883,Dodecylparaben,2664-60-0,Paraben_like,dual_target_high,ESR1+AR,environmental_high_confidence,Direct endocrine follow-up,esr1_proxy_supported,0.94,0.895,0.94,dual_endocrine_high_confidence,Direct ESR1 and AR follow-up; prioritize binding/reporter confirmation.,1,dual_environmental,ESR1+AR,True
DTXSID5051444,"4,4'-(1-Phenylethylidene)bisphenol",1571-75-1,Bisphenol_or_Benzophenone,dual_target_high,ESR1+AR,environmental_high_confidence,Direct endocrine follow-up,multi_proxy_supported,0.925,0.845,0.925,dual_endocrine_high_confidence,Direct ESR1 and AR follow-up; prioritize binding/reporter confirmation.,1,dual_environmental,ESR1+AR,True
DTXSID3047891,Bisphenol E,2081-08-5,Bisphenol_or_Benzophenone,dual_target_high,ESR1+AR,environmental_high_confidence,Direct endocrine follow-up,multi_proxy_supported,0.85,0.81,0.85,dual_endocrine_high_confidence,Direct ESR1 and AR follow-up; prioritize binding/reporter confirmation.,1,not_in_panel,manual_review,False
DTXSID60892443,Sodium perfluorodecanesulfonate,2806-15-7,PFAS_like,dual_target_high,ESR1+AR,environmental_high_confidence,Direct endocrine follow-up,esr1_proxy_supported,0.4959064381870617,0.83,0.83,dual_endocrine_high_confidence,Direct ESR1 and AR follow-up; prioritize binding/reporter confirmation.,1,not_in_panel,manual_review,False
DTXSID1044514,Hexylparaben,1083-27-8,Paraben_like,ar_priority,AR,environmental_target_specific,AR-focused follow-up,ar_proxy_supported,,0.885,0.885,ar_environmental_focus,AR-focused follow-up; confirm binding then reporter.,2,ar_environmental,AR,True
DTXSID2032421,Lithium perfluorooctanesulfonate,29457-72-5,PFAS_like,ar_priority,AR,environmental_target_specific,AR-focused follow-up,proxy_negative,,0.88,0.88,ar_environmental_focus,AR-focused follow-up; confirm binding then reporter.,2,ar_environmental,AR,True
DTXSID5047904,Methyltrioctylammonium trifluoromethanesulfonate,121107-18-4,PFAS_like,ar_priority,AR,environmental_target_specific,AR-focused follow-up,multi_proxy_supported,0.1942444547134935,0.87,0.87,ar_environmental_focus,AR-focused follow-up; confirm binding then reporter.,2,ar_environmental,AR,True
DTXSID4020749,Isobutylparaben,4247-02-3,Paraben_like,esr1_priority,ESR1,environmental_target_specific,ESR1-focused follow-up,multi_proxy_supported,0.845,0.26,0.845,esr1_environmental_focus,ESR1-focused follow-up; confirm binding then reporter.,2,esr1_environmental,ESR1,True
DTXSID0022808,Chlorpromazine,50-53-3,Pesticide_like,ar_priority,AR,environmental_target_specific,AR-focused follow-up,ar_proxy_supported,0.04,0.8395249695493301,0.8395249695493301,ar_environmental_focus,AR-focused follow-up; confirm binding then reporter.,2,ar_environmental,AR,True
DTXSID1022425,"4,4'-Dihydoxybenzophenone",611-99-4,Bisphenol_or_Benzophenone,esr1_priority,ESR1,environmental_target_specific,ESR1-focused follow-up,multi_proxy_supported,0.825,0.545,0.825,esr1_environmental_focus,ESR1-focused follow-up; confirm binding then reporter.,2,esr1_environmental,ESR1,True
