task,sim_bin,n,positive_rate,hybrid_pr_auc,rf_pr_auc,hybrid_brier,rf_brier,mean_max_similarity
ar_binding,"[0.0, 0.4)",1910,0.1968586387434555,0.5657879573875136,0.46494214320642113,0.14375136899769456,0.13362146019182247,0.2926521976327241
ar_binding,"[0.4, 0.6)",1147,0.2136006974716652,0.5996449597763139,0.4981314464118941,0.1932746130137318,0.14562997210970519,0.47475615089211964
ar_binding,"[0.6, 0.8)",200,0.25,0.7957551176053134,0.681137265185559,0.15397052865972255,0.13591331413871358,0.6589753785729409
ar_binding,"[0.8, 0.9)",9,0.2222222222222222,0.8333333333333333,1.0,0.1356866740029963,0.1147585624003976,0.844969908396403
ar_binding,"[0.9, 1.0)",7,0.2857142857142857,1.0,0.41666666666666663,0.2182480585538527,0.192241912276369,1.0
esr1_binding,"[0.0, 0.4)",2077,0.11025517573423206,0.376118683180312,0.2807912601035276,0.12225150667296501,0.0907630902083987,0.2840803495510071
esr1_binding,"[0.4, 0.6)",1040,0.1451923076923077,0.5085851411176989,0.48202856608934247,0.15868112917797828,0.10107275978730462,0.47009879468152155
esr1_binding,"[0.6, 0.8)",150,0.2733333333333333,0.6327203977661076,0.694011725738781,0.1993240507507859,0.1372061686411819,0.6537783122062684
esr1_binding,"[0.8, 0.9)",8,0.25,0.7,0.7,0.23542873577952894,0.17348090277777778,0.8508567810058594
esr1_binding,"[0.9, 1.0)",14,0.14285714285714285,0.16233766233766234,0.2159090909090909,0.1885299989949274,0.17045971985438224,0.9675324772085462
