task,retained_fraction,n_retained,hybrid_pr_auc,rf_pr_auc,hybrid_brier,rf_brier,hybrid_precision_at_5pct,rf_precision_at_5pct
ar_binding,1.0,3273,0.5906347577511252,0.4912550825471817,0.16186804708835792,0.13804330896776462,0.8109756097560976,0.6402439024390244
ar_binding,0.8,2619,0.6139746192412445,0.49620029931790455,0.17537352396670744,0.1481709979011652,0.8473282442748091,0.6564885496183206
ar_binding,0.6,1964,0.6362582243592332,0.5198391028321598,0.1831617207196495,0.14402429934773195,0.8484848484848485,0.6666666666666666
ar_binding,0.4,1310,0.6428572512696548,0.5340156926010707,0.1886580901961716,0.14485952385210285,0.8484848484848485,0.6818181818181818
ar_binding,0.2,655,0.6401472442670216,0.5671512281884667,0.19295457755274015,0.14036264742681798,0.7272727272727273,0.7575757575757576
esr1_binding,1.0,3289,0.4524161743390529,0.3988263852098153,0.13784317761922432,0.09668161056187345,0.6909090909090909,0.6424242424242425
esr1_binding,0.8,2632,0.4799129797692685,0.4352113194020969,0.1463656551067536,0.0990001079437963,0.7424242424242424,0.696969696969697
esr1_binding,0.6,1974,0.5095788763077168,0.46502803315157515,0.15871905180703028,0.10619727528042462,0.7878787878787878,0.7171717171717171
esr1_binding,0.4,1316,0.5501245076544309,0.5178148286832255,0.1631135159939129,0.10679204748886031,0.7727272727272727,0.7424242424242424
esr1_binding,0.2,658,0.5726499282403338,0.5715240249683203,0.17533586565981246,0.1154428957593466,0.8484848484848485,0.8181818181818182
