task,fold_id,n_test,n_train,exact_smiles_overlap_count,scaffold_overlap_count,pct_test_maxsim_ge_0p85,pct_test_maxsim_ge_0p90,pct_test_maxsim_ge_0p95,mean_max_train_similarity,median_max_train_similarity
ar_binding,scaffold_holdout_01,212,1742,0,0,0.0,0.0,0.0,0.41230514645576477,0.38799282908439636
ar_binding,scaffold_holdout_02,624,1330,0,0,0.00641025641025641,0.00641025641025641,0.00641025641025641,0.4313804805278778,0.4137931168079376
ar_binding,scaffold_holdout_03,589,1365,0,0,0.006791171477079796,0.003395585738539898,0.003395585738539898,0.4437219500541687,0.4285714328289032
ar_binding,scaffold_holdout_04,723,1231,0,0,0.004149377593360996,0.0013831258644536654,0.0013831258644536654,0.3379899561405182,0.3125
ar_binding,scaffold_holdout_05,1125,829,0,0,0.0008888888888888889,0.0,0.0,0.34453487396240234,0.3333333432674408
esr1_binding,scaffold_holdout_01,783,1381,0,0,0.005108556832694764,0.0038314176245210726,0.0038314176245210726,0.3379059135913849,0.31578946113586426
esr1_binding,scaffold_holdout_02,817,1347,0,0,0.006119951040391677,0.006119951040391677,0.0036719706242350062,0.3453357219696045,0.3243243098258972
esr1_binding,scaffold_holdout_03,245,1919,0,0,0.012244897959183673,0.00816326530612245,0.004081632653061225,0.40638166666030884,0.380952388048172
esr1_binding,scaffold_holdout_04,677,1487,0,0,0.0029542097488921715,0.0014771048744460858,0.0,0.434016615152359,0.42105263471603394
esr1_binding,scaffold_holdout_05,767,1397,0,0,0.005215123859191656,0.003911342894393742,0.002607561929595828,0.33539023995399475,0.31578946113586426
